Date,Open,High,Low,Close,Adj Close,Volume
2019-02-10,null,null,null,null,null,null
2019-02-11,2.368000,2.383000,2.368000,2.375000,2.375000,0
2019-02-12,2.388000,2.388000,2.378000,2.378000,2.378000,0
2019-02-13,2.375000,2.378000,2.373000,2.373000,2.373000,0
2019-02-14,2.373000,2.375000,2.370000,2.373000,2.373000,0
2019-02-15,2.370000,2.373000,2.370000,2.370000,2.370000,0
2019-02-17,null,null,null,null,null,null
2019-02-19,2.373000,2.373000,2.365000,2.373000,2.373000,0
2019-02-20,2.380000,2.383000,2.380000,2.383000,2.383000,0
2019-02-21,2.383000,2.395000,2.383000,2.395000,2.395000,0
2019-02-22,2.393000,2.395000,2.388000,2.393000,2.393000,0
2019-02-24,null,null,null,null,null,null
2019-02-25,2.393000,2.398000,2.388000,2.393000,2.393000,0
2019-02-26,2.398000,2.400000,2.398000,2.400000,2.400000,0
2019-02-27,2.398000,2.400000,2.393000,2.393000,2.393000,0
2019-02-28,2.388000,2.390000,2.380000,2.383000,2.383000,0
2019-03-01,2.385000,2.388000,2.378000,2.378000,2.378000,0
2019-03-03,null,null,null,null,null,null
2019-03-04,2.378000,2.385000,2.375000,2.375000,2.375000,0
2019-03-05,2.400000,2.405000,2.400000,2.400000,2.400000,0
2019-03-06,2.405000,2.405000,2.403000,2.405000,2.405000,0
2019-03-07,2.395000,2.400000,2.395000,2.395000,2.395000,0
2019-03-08,2.395000,2.395000,2.390000,2.393000,2.393000,0
2019-03-10,null,null,null,null,null,null
2019-03-11,2.393000,2.393000,2.380000,2.380000,2.380000,0
2019-03-12,2.395000,2.395000,2.393000,2.395000,2.395000,0
2019-03-13,2.393000,2.395000,2.388000,2.388000,2.388000,0
2019-03-14,2.388000,2.393000,2.385000,2.388000,2.388000,0
2019-03-15,2.388000,2.390000,2.385000,2.388000,2.388000,0
2019-03-17,null,null,null,null,null,null
2019-03-18,2.388000,2.390000,2.385000,2.385000,2.385000,0
2019-03-19,2.398000,2.405000,2.398000,2.405000,2.405000,0
2019-03-20,2.405000,2.415000,2.398000,2.408000,2.408000,0
2019-03-21,2.403000,2.418000,2.403000,2.408000,2.408000,0
2019-03-22,2.405000,2.408000,2.395000,2.398000,2.398000,0
2019-03-24,null,null,null,null,null,null
2019-03-25,2.400000,2.400000,2.390000,2.390000,2.390000,0
2019-03-26,2.403000,2.405000,2.403000,2.405000,2.405000,0
2019-03-27,2.398000,2.403000,2.375000,2.378000,2.378000,0
2019-03-28,2.373000,2.378000,2.368000,2.370000,2.370000,0
2019-03-29,2.363000,2.363000,2.328000,2.328000,2.328000,0
2019-03-31,null,null,null,null,null,null
2019-04-01,2.343000,2.345000,2.320000,2.323000,2.323000,0
2019-04-02,2.363000,2.373000,2.363000,2.370000,2.370000,0
2019-04-03,2.375000,2.378000,2.370000,2.373000,2.373000,0
2019-04-04,2.370000,2.378000,2.370000,2.370000,2.370000,0
2019-04-05,2.370000,2.375000,2.370000,2.370000,2.370000,0
2019-04-07,null,null,null,null,null,null
2019-04-08,2.370000,2.370000,2.365000,2.365000,2.365000,0
2019-04-09,2.365000,2.365000,2.365000,2.365000,2.365000,0
2019-04-10,2.365000,2.365000,2.360000,2.363000,2.363000,0
2019-04-11,2.360000,2.365000,2.360000,2.365000,2.365000,0
2019-04-12,2.365000,2.375000,2.365000,2.375000,2.375000,0
2019-04-14,null,null,null,null,null,null
2019-04-15,2.373000,2.375000,2.360000,2.360000,2.360000,0
2019-04-16,2.373000,2.380000,2.373000,2.378000,2.378000,0
2019-04-17,2.380000,2.390000,2.380000,2.380000,2.380000,0
2019-04-18,2.370000,2.373000,2.365000,2.365000,2.365000,0
2019-04-21,null,null,null,null,null,null
2019-04-22,2.368000,2.378000,2.368000,2.375000,2.375000,0
2019-04-23,2.388000,2.390000,2.385000,2.390000,2.390000,0
2019-04-24,2.380000,2.380000,2.375000,2.375000,2.375000,0
2019-04-25,2.365000,2.365000,2.360000,2.365000,2.365000,0
2019-04-26,2.363000,2.363000,2.358000,2.360000,2.360000,0
2019-04-28,null,null,null,null,null,null
2019-04-29,2.360000,2.365000,2.360000,2.360000,2.360000,0
2019-04-30,2.375000,2.375000,2.368000,2.368000,2.368000,0
2019-05-01,2.370000,2.373000,2.345000,2.363000,2.363000,0
2019-05-02,2.360000,2.373000,2.360000,2.373000,2.373000,0
2019-05-03,2.370000,2.370000,2.365000,2.368000,2.368000,0
2019-05-05,null,null,null,null,null,null
2019-05-06,2.360000,2.365000,2.360000,2.363000,2.363000,0
2019-05-07,2.370000,2.373000,2.368000,2.368000,2.368000,0
2019-05-08,2.368000,2.370000,2.368000,2.370000,2.370000,0
2019-05-09,2.368000,2.370000,2.365000,2.370000,2.370000,0
2019-05-10,2.368000,2.370000,2.365000,2.370000,2.370000,0
2019-05-12,null,null,null,null,null,null
2019-05-13,2.360000,2.360000,2.350000,2.350000,2.350000,0
2019-05-14,2.350000,2.355000,2.350000,2.353000,2.353000,0
2019-05-15,2.348000,2.355000,2.348000,2.350000,2.350000,0
2019-05-16,2.345000,2.345000,2.338000,2.338000,2.338000,0
2019-05-17,2.335000,2.335000,2.328000,2.330000,2.330000,0
2019-05-19,null,null,null,null,null,null
2019-05-20,2.328000,2.328000,2.320000,2.320000,2.320000,0
2019-05-21,2.330000,2.333000,2.330000,2.330000,2.330000,0
2019-05-22,2.330000,2.330000,2.320000,2.320000,2.320000,0
2019-05-23,2.310000,2.310000,2.303000,2.303000,2.303000,0
2019-05-24,2.303000,2.305000,2.288000,2.288000,2.288000,0
2019-05-26,null,null,null,null,null,null
2019-05-28,2.290000,2.303000,2.290000,2.298000,2.298000,0
2019-05-29,2.298000,2.300000,2.295000,2.298000,2.298000,0
2019-05-30,2.300000,2.310000,2.300000,2.310000,2.310000,0
2019-05-31,2.293000,2.295000,2.290000,2.293000,2.293000,0
2019-06-02,null,null,null,null,null,null
2019-06-03,2.280000,2.283000,2.275000,2.280000,2.280000,0
2019-06-04,2.295000,2.300000,2.293000,2.295000,2.295000,0
2019-06-05,2.283000,2.285000,2.278000,2.285000,2.285000,0
2019-06-06,2.278000,2.278000,2.248000,2.255000,2.255000,0
2019-06-07,2.253000,2.253000,2.203000,2.215000,2.215000,0
2019-06-09,null,null,null,null,null,null
2019-06-10,2.228000,2.228000,2.220000,2.220000,2.220000,0
2019-06-11,2.225000,2.228000,2.213000,2.213000,2.213000,0
2019-06-12,2.203000,2.205000,2.160000,2.165000,2.165000,0
2019-06-13,2.163000,2.163000,2.138000,2.140000,2.140000,0
2019-06-14,2.130000,2.143000,2.120000,2.125000,2.125000,0
2019-06-16,null,null,null,null,null,null
2019-06-17,2.125000,2.138000,2.125000,2.138000,2.138000,0
2019-06-18,2.163000,2.170000,2.163000,2.168000,2.168000,0
2019-06-19,2.165000,2.168000,2.120000,2.125000,2.125000,0
2019-06-20,2.090000,2.105000,2.070000,2.078000,2.078000,0
2019-06-21,2.070000,2.070000,2.055000,2.055000,2.055000,0
2019-06-23,null,null,null,null,null,null
2019-06-24,2.058000,2.065000,2.058000,2.058000,2.058000,0
2019-06-25,2.073000,2.085000,2.070000,2.083000,2.083000,0
2019-06-26,2.085000,2.098000,2.085000,2.093000,2.093000,0
2019-06-27,2.088000,2.095000,2.083000,2.085000,2.085000,0
2019-06-28,2.075000,2.075000,2.035000,2.035000,2.035000,0
2019-06-30,null,null,null,null,null,null
2019-07-01,2.055000,2.070000,2.053000,2.065000,2.065000,0
2019-07-02,2.143000,2.148000,2.125000,2.148000,2.148000,0
2019-07-03,null,null,null,null,null,null
2019-07-05,2.143000,2.175000,2.143000,2.163000,2.163000,0
2019-07-07,null,null,null,null,null,null
2019-07-08,2.160000,2.180000,2.158000,2.178000,2.178000,0
2019-07-09,2.200000,2.208000,2.195000,2.195000,2.195000,0
2019-07-10,2.203000,2.203000,2.125000,2.130000,2.130000,0
2019-07-11,2.098000,2.118000,2.093000,2.098000,2.098000,0
2019-07-12,2.090000,2.095000,2.088000,2.090000,2.090000,0
2019-07-14,null,null,null,null,null,null
2019-07-15,2.088000,2.093000,2.085000,2.085000,2.085000,0
2019-07-16,2.103000,2.105000,2.100000,2.103000,2.103000,0
2019-07-17,2.098000,2.098000,2.073000,2.073000,2.073000,0
2019-07-18,2.065000,2.065000,2.013000,2.013000,2.013000,0
2019-07-19,2.003000,2.020000,1.993000,2.013000,2.013000,0
2019-07-21,null,null,null,null,null,null
2019-07-22,2.033000,2.033000,2.015000,2.025000,2.025000,0
2019-07-23,2.033000,2.038000,2.028000,2.033000,2.033000,0
2019-07-24,2.033000,2.043000,2.030000,2.040000,2.040000,0
2019-07-25,2.038000,2.060000,2.033000,2.060000,2.060000,0
2019-07-26,2.053000,2.063000,2.050000,2.063000,2.063000,0
2019-07-28,null,null,null,null,null,null
2019-07-29,2.065000,2.073000,2.050000,2.050000,2.050000,0
2019-07-30,2.053000,2.058000,2.038000,2.040000,2.040000,0
2019-07-31,2.028000,2.035000,1.968000,2.030000,2.030000,0
2019-08-01,2.023000,2.048000,2.020000,2.030000,2.030000,0
2019-08-02,2.018000,2.020000,1.998000,2.000000,2.000000,0
2019-08-04,null,null,null,null,null,null
2019-08-05,1.978000,1.978000,1.953000,1.953000,1.953000,0
2019-08-06,1.990000,1.998000,1.988000,1.995000,1.995000,0
2019-08-07,1.973000,1.975000,1.963000,1.968000,1.968000,0
2019-08-08,1.973000,1.985000,1.970000,1.970000,1.970000,0
2019-08-09,1.963000,1.963000,1.943000,1.950000,1.950000,0
2019-08-11,null,null,null,null,null,null
2019-08-12,1.945000,1.950000,1.928000,1.928000,1.928000,0
2019-08-13,1.940000,1.958000,1.938000,1.955000,1.955000,0
2019-08-14,1.938000,1.938000,1.900000,1.908000,1.908000,0
2019-08-15,1.863000,1.883000,1.843000,1.843000,1.843000,0
2019-08-16,1.845000,1.845000,1.823000,1.823000,1.823000,0
2019-08-18,null,null,null,null,null,null
2019-08-19,1.828000,1.853000,1.828000,1.853000,1.853000,0
2019-08-20,1.888000,1.900000,1.883000,1.900000,1.900000,0
2019-08-21,1.908000,1.930000,1.908000,1.928000,1.928000,0
2019-08-22,1.935000,1.940000,1.935000,1.938000,1.938000,0
2019-08-23,1.925000,1.925000,1.898000,1.910000,1.910000,0
2019-08-25,null,null,null,null,null,null
2019-08-26,1.925000,1.940000,1.923000,1.933000,1.933000,0
2019-08-27,1.945000,1.953000,1.943000,1.943000,1.943000,0
2019-08-28,1.943000,1.945000,1.940000,1.940000,1.940000,0
2019-08-29,1.935000,1.943000,1.930000,1.940000,1.940000,0
2019-08-30,1.930000,1.933000,1.930000,1.933000,1.933000,0
2019-09-01,null,null,null,null,null,null
2019-09-03,1.930000,1.930000,1.905000,1.910000,1.910000,0
2019-09-04,1.913000,1.915000,1.898000,1.905000,1.905000,0
2019-09-05,1.908000,1.928000,1.908000,1.920000,1.920000,0
2019-09-06,1.918000,1.918000,1.908000,1.910000,1.910000,0
2019-09-08,null,null,null,null,null,null
2019-09-09,1.918000,1.923000,1.908000,1.908000,1.908000,0
2019-09-10,1.910000,1.915000,1.910000,1.913000,1.913000,0
2019-09-11,1.913000,1.913000,1.913000,1.913000,1.913000,0
2019-09-12,1.888000,1.900000,1.878000,1.895000,1.895000,0
2019-09-13,1.890000,1.900000,1.888000,1.900000,1.900000,0
2019-09-15,null,null,null,null,null,null
2019-09-16,1.905000,1.948000,1.905000,1.945000,1.945000,0
2019-09-17,1.965000,1.965000,1.700000,1.938000,1.938000,0
2019-09-18,1.900000,1.910000,1.850000,1.880000,1.880000,0
2019-09-19,1.865000,1.895000,1.863000,1.883000,1.883000,0
2019-09-20,1.865000,1.870000,1.843000,1.850000,1.850000,0
2019-09-22,null,null,null,null,null,null
2019-09-23,1.855000,1.860000,1.845000,1.845000,1.845000,0
2019-09-24,1.895000,1.895000,1.880000,1.880000,1.880000,0
2019-09-25,1.875000,1.883000,1.845000,1.845000,1.845000,0
2019-09-26,1.830000,1.835000,1.770000,1.770000,1.770000,0
2019-09-27,1.758000,1.763000,1.725000,1.730000,1.730000,0
2019-09-29,null,null,null,null,null,null
2019-09-30,1.745000,1.793000,1.745000,1.770000,1.770000,0
2019-10-01,1.805000,1.805000,1.753000,1.753000,1.753000,0
2019-10-02,1.770000,1.770000,1.735000,1.735000,1.735000,0
2019-10-03,1.693000,1.695000,1.633000,1.665000,1.665000,0
2019-10-04,1.658000,1.675000,1.650000,1.655000,1.655000,0
2019-10-06,null,null,null,null,null,null
2019-10-07,1.663000,1.685000,1.663000,1.673000,1.673000,0
2019-10-08,1.665000,1.670000,1.650000,1.655000,1.655000,0
2019-10-09,1.630000,1.630000,1.618000,1.628000,1.628000,0
2019-10-10,1.618000,1.638000,1.615000,1.633000,1.633000,0
2019-10-11,1.640000,1.660000,1.600000,1.623000,1.623000,0
2019-10-13,null,null,null,null,null,null
2019-10-14,1.618000,1.618000,1.618000,1.618000,1.618000,0
2019-10-15,1.615000,1.628000,1.608000,1.618000,1.618000,0
2019-10-16,1.620000,1.625000,1.610000,1.615000,1.615000,0
2019-10-17,1.615000,1.628000,1.615000,1.625000,1.625000,0
2019-10-18,1.618000,1.628000,1.613000,1.625000,1.625000,0
2019-10-20,null,null,null,null,null,null
2019-10-21,1.630000,1.638000,1.620000,1.625000,1.625000,0
2019-10-22,1.615000,1.615000,1.615000,1.615000,1.615000,0
2019-10-23,1.613000,1.615000,1.613000,1.615000,1.615000,0
2019-10-24,1.610000,1.623000,1.610000,1.623000,1.623000,0
2019-10-25,1.620000,1.630000,1.618000,1.625000,1.625000,0
2019-10-27,null,null,null,null,null,null
2019-10-28,1.630000,1.635000,1.603000,1.605000,1.605000,0
2019-10-29,1.595000,1.595000,1.595000,1.595000,1.595000,0
2019-10-30,1.595000,1.595000,1.595000,1.595000,1.595000,0
2019-10-31,1.533000,1.535000,1.495000,1.498000,1.498000,0
2019-11-01,1.495000,1.503000,1.480000,1.485000,1.485000,0
2019-11-03,null,null,null,null,null,null
2019-11-04,1.483000,1.503000,1.480000,1.503000,1.503000,0
2019-11-05,1.518000,1.518000,1.515000,1.518000,1.518000,0
2019-11-06,1.515000,1.515000,1.515000,1.515000,1.515000,0
2019-11-07,1.515000,1.523000,1.513000,1.518000,1.518000,0
2019-11-08,1.515000,1.518000,1.505000,1.510000,1.510000,0
2019-11-10,null,null,null,null,null,null
2019-11-11,1.513000,1.513000,1.513000,1.513000,1.513000,0
2019-11-12,1.520000,1.543000,1.518000,1.533000,1.533000,0
2019-11-13,1.543000,1.545000,1.535000,1.535000,1.535000,0
2019-11-14,1.533000,1.538000,1.528000,1.528000,1.528000,0
2019-11-15,1.528000,1.528000,1.520000,1.528000,1.528000,0
2019-11-17,null,null,null,null,null,null
2019-11-18,1.525000,1.528000,1.518000,1.523000,1.523000,0
2019-11-19,1.530000,1.530000,1.525000,1.525000,1.525000,0
2019-11-20,1.523000,1.523000,1.520000,1.520000,1.520000,0
2019-11-21,1.520000,1.530000,1.518000,1.530000,1.530000,0
2019-11-22,1.525000,1.543000,1.523000,1.543000,1.543000,0
2019-11-24,null,null,null,null,null,null
2019-11-25,1.545000,1.550000,1.543000,1.545000,1.545000,0
2019-11-26,1.555000,1.565000,1.555000,1.565000,1.565000,0
2019-11-27,1.570000,1.585000,1.565000,1.565000,1.565000,0
2019-11-29,null,null,null,null,null,null
2019-12-01,null,null,null,null,null,null
2019-12-02,1.550000,1.553000,1.538000,1.538000,1.538000,0
2019-12-03,1.545000,1.545000,1.533000,1.538000,1.538000,0
2019-12-04,1.535000,1.675000,1.498000,1.498000,1.498000,0
2019-12-05,1.505000,1.510000,1.493000,1.493000,1.493000,0
2019-12-06,1.495000,1.500000,1.480000,1.480000,1.480000,0
2019-12-08,null,null,null,null,null,null
2019-12-09,1.478000,1.500000,1.478000,1.498000,1.498000,0
2019-12-10,1.508000,1.515000,1.508000,1.515000,1.515000,0
2019-12-11,1.520000,2.000000,1.520000,1.520000,1.520000,0
2019-12-12,1.520000,1.538000,1.520000,1.530000,1.530000,0
2019-12-13,1.515000,1.523000,1.513000,1.523000,1.523000,0
2019-12-15,null,null,null,null,null,null
2019-12-16,1.525000,1.528000,1.523000,1.525000,1.525000,0
2019-12-17,1.530000,1.530000,1.530000,1.530000,1.530000,0
2019-12-18,1.518000,1.520000,1.518000,1.518000,1.518000,0
2019-12-19,1.518000,1.533000,1.515000,1.533000,1.533000,0
2019-12-20,1.525000,1.530000,1.520000,1.528000,1.528000,0
2019-12-22,null,null,null,null,null,null
2019-12-23,1.530000,1.533000,1.520000,1.520000,1.520000,0
2019-12-24,null,null,null,null,null,null
2019-12-26,1.530000,1.545000,1.528000,1.535000,1.535000,0
2019-12-27,1.535000,1.535000,1.513000,1.518000,1.518000,0
2019-12-29,null,null,null,null,null,null
2019-12-30,1.508000,1.518000,1.488000,1.490000,1.490000,0
2019-12-31,1.505000,1.505000,1.505000,1.505000,1.505000,0
2020-01-02,1.510000,1.510000,1.495000,1.495000,1.495000,0
2020-01-03,1.490000,1.490000,1.460000,1.473000,1.473000,0
2020-01-05,null,null,null,null,null,null
2020-01-06,1.478000,1.490000,1.475000,1.488000,1.488000,0
2020-01-07,1.505000,1.505000,1.500000,1.500000,1.500000,0
2020-01-08,1.493000,1.493000,1.485000,1.493000,1.493000,0
2020-01-09,1.495000,1.503000,1.495000,1.500000,1.500000,0
2020-01-10,1.498000,1.503000,1.498000,1.498000,1.498000,0
2020-01-12,null,null,null,null,null,null
2020-01-13,1.500000,1.510000,1.500000,1.510000,1.510000,0
2020-01-14,1.523000,1.530000,1.523000,1.530000,1.530000,0
2020-01-15,1.528000,1.528000,1.508000,1.508000,1.508000,0
2020-01-16,1.523000,1.525000,1.515000,1.518000,1.518000,0
2020-01-17,1.515000,1.525000,1.515000,1.523000,1.523000,0
2020-01-19,null,null,null,null,null,null
2020-01-21,1.513000,1.518000,1.503000,1.503000,1.503000,0
2020-01-22,1.515000,1.515000,1.510000,1.513000,1.513000,0
2020-01-23,1.508000,1.518000,1.508000,1.515000,1.515000,0
2020-01-24,1.515000,1.515000,1.490000,1.490000,1.490000,0
2020-01-26,null,null,null,null,null,null
2020-01-27,1.485000,1.505000,1.483000,1.505000,1.505000,0
2020-01-28,1.525000,1.530000,1.525000,1.530000,1.530000,0
2020-01-29,1.530000,1.535000,1.520000,1.520000,1.520000,0
2020-01-30,1.510000,1.528000,1.508000,1.528000,1.528000,0
2020-01-31,1.518000,1.520000,1.508000,1.510000,1.510000,0
2020-02-02,null,null,null,null,null,null
2020-02-03,1.513000,1.520000,1.513000,1.518000,1.518000,0
2020-02-04,1.538000,1.540000,1.538000,1.538000,1.538000,0
2020-02-05,1.540000,1.540000,1.520000,1.520000,1.520000,0
2020-02-06,1.520000,1.533000,1.520000,1.530000,1.530000,0
2020-02-07,1.523000,1.528000,1.515000,1.518000,1.518000,0
2020-02-09,null,null,null,null,null,null
2020-02-10,1.515000,1.525000,1.510000,1.520000,1.520000,0
2020-02-11,1.535000,1.538000,1.535000,1.538000,1.538000,0
2020-02-12,1.535000,1.535000,1.535000,1.535000,1.535000,0
2020-02-13,1.533000,1.545000,1.530000,1.545000,1.545000,0
2020-02-14,1.535000,1.538000,1.535000,1.535000,1.535000,0
2020-02-16,null,null,null,null,null,null
2020-02-18,1.535000,1.543000,1.533000,1.535000,1.535000,0
2020-02-19,1.530000,1.545000,1.530000,1.543000,1.543000,0
2020-02-20,1.535000,1.538000,1.533000,1.538000,1.538000,0
2020-02-21,1.533000,1.533000,1.513000,1.518000,1.518000,0
2020-02-23,null,null,null,null,null,null
2020-02-24,1.498000,1.503000,1.490000,1.503000,1.503000,0
2020-02-25,1.500000,1.505000,1.490000,1.490000,1.490000,0
2020-02-26,1.495000,1.495000,1.470000,1.478000,1.478000,0
2020-02-27,1.423000,1.423000,1.363000,1.395000,1.395000,0
2020-02-28,1.290000,1.290000,1.230000,1.230000,1.230000,0
2020-03-01,null,null,null,null,null,null
2020-03-02,1.090000,1.158000,1.090000,1.135000,1.135000,0
2020-03-03,1.143000,1.153000,0.855000,0.918000,0.918000,0
2020-03-04,0.848000,0.850000,0.675000,0.675000,0.675000,0
2020-03-05,0.655000,0.655000,0.578000,0.595000,0.595000,0
2020-03-06,0.403000,0.428000,0.325000,0.415000,0.415000,0
2020-03-08,null,null,null,null,null,null
2020-03-09,0.235000,0.363000,0.178000,0.330000,0.330000,0
2020-03-10,0.398000,0.400000,0.378000,0.390000,0.390000,0
2020-03-11,0.375000,0.410000,0.350000,0.368000,0.368000,0
2020-03-12,0.165000,0.283000,0.155000,0.273000,0.273000,0
2020-03-13,0.258000,0.270000,0.230000,0.243000,0.243000,0
2020-03-15,null,null,null,null,null,null
2020-03-16,0.130000,0.210000,0.115000,0.185000,0.185000,0
2020-03-17,0.235000,0.235000,0.143000,0.165000,0.165000,0
2020-03-18,0.100000,0.100000,-0.013000,0.003000,0.003000,0
2020-03-19,-0.033000,-0.018000,-0.040000,-0.028000,-0.028000,0
2020-03-20,-0.045000,-0.023000,-0.045000,-0.033000,-0.033000,0
2020-03-22,null,null,null,null,null,null
2020-03-23,-0.030000,-0.028000,-0.040000,-0.040000,-0.040000,0
2020-03-24,-0.003000,0.005000,-0.070000,-0.033000,-0.033000,0
2020-03-25,-0.033000,3.390000,-0.235000,-0.070000,-0.070000,0
2020-03-26,-0.103000,-0.100000,-0.123000,-0.105000,-0.105000,0
2020-03-27,-0.108000,-0.058000,-0.108000,-0.058000,-0.058000,0
2020-03-29,null,null,null,null,null,null
2020-03-30,-0.043000,0.020000,-0.053000,0.013000,0.013000,0
2020-03-31,0.070000,0.070000,0.028000,0.030000,0.030000,0
2020-04-01,0.085000,0.090000,0.063000,0.063000,0.063000,0
2020-04-02,0.053000,0.073000,0.040000,0.065000,0.065000,0
2020-04-03,0.048000,0.063000,0.048000,0.058000,0.058000,0
2020-04-05,null,null,null,null,null,null
2020-04-06,0.058000,0.083000,0.053000,0.060000,0.060000,0
2020-04-07,0.115000,0.130000,0.115000,0.128000,0.128000,0
2020-04-08,0.155000,0.188000,0.155000,0.185000,0.185000,0
2020-04-09,0.163000,0.215000,0.155000,0.210000,0.210000,0
2020-04-12,null,null,null,null,null,null
2020-04-13,0.208000,0.260000,0.195000,0.200000,0.200000,0
2020-04-14,0.218000,0.220000,0.165000,0.165000,0.165000,0
2020-04-15,0.115000,0.125000,0.108000,0.115000,0.115000,0
2020-04-16,0.118000,0.125000,0.110000,0.110000,0.110000,0
2020-04-17,0.110000,0.113000,0.095000,0.103000,0.103000,0
2020-04-19,null,null,null,null,null,null
2020-04-20,0.100000,0.108000,0.070000,0.070000,0.070000,0
2020-04-21,0.105000,0.110000,0.098000,0.098000,0.098000,0
2020-04-22,0.103000,0.103000,0.093000,0.093000,0.093000,0
2020-04-23,0.088000,0.100000,0.088000,0.093000,0.093000,0
2020-04-24,0.093000,0.103000,0.093000,0.100000,0.100000,0
2020-04-26,null,null,null,null,null,null
2020-04-27,0.090000,0.100000,0.090000,0.093000,0.093000,0
2020-04-28,0.103000,0.103000,0.083000,0.085000,0.085000,0
2020-04-29,0.075000,0.100000,0.075000,0.090000,0.090000,0
2020-04-30,0.078000,0.093000,0.078000,0.090000,0.090000,0
2020-05-01,0.088000,0.095000,0.088000,0.093000,0.093000,0
2020-05-03,null,null,null,null,null,null
2020-05-04,0.095000,0.103000,0.090000,0.090000,0.090000,0
2020-05-05,0.103000,0.110000,0.100000,0.110000,0.110000,0
2020-05-06,0.078000,0.108000,0.078000,0.108000,0.108000,0
2020-05-07,0.105000,0.105000,0.090000,0.095000,0.095000,0
2020-05-08,0.098000,0.098000,0.090000,0.095000,0.095000,0
2020-05-10,null,null,null,null,null,null
2020-05-11,0.098000,0.105000,0.095000,0.105000,0.105000,0
2020-05-12,0.118000,0.123000,0.118000,0.123000,0.123000,0
2020-05-13,0.118000,0.120000,0.110000,0.115000,0.115000,0
2020-05-14,0.108000,0.113000,0.105000,0.105000,0.105000,0
2020-05-15,0.105000,0.108000,0.100000,0.103000,0.103000,0
2020-05-17,null,null,null,null,null,null
2020-05-18,0.105000,0.105000,0.103000,0.105000,0.105000,0
2020-05-19,0.113000,0.120000,0.113000,0.118000,0.118000,0
2020-05-20,0.113000,0.120000,0.113000,0.118000,0.118000,0
2020-05-21,0.110000,0.113000,0.110000,0.110000,0.110000,0
2020-05-22,0.110000,0.113000,0.108000,0.110000,0.110000,0
2020-05-24,null,null,null,null,null,null
2020-05-26,0.110000,0.118000,0.110000,0.118000,0.118000,0
2020-05-27,0.125000,0.140000,0.125000,0.135000,0.135000,0
2020-05-28,0.133000,0.140000,0.133000,0.138000,0.138000,0
2020-05-29,0.130000,0.130000,0.128000,0.128000,0.128000,0
2020-05-31,null,null,null,null,null,null
2020-06-01,0.130000,0.130000,0.128000,0.128000,0.128000,0
2020-06-02,0.143000,0.145000,0.143000,0.145000,0.145000,0
2020-06-03,0.145000,0.148000,0.145000,0.148000,0.148000,0
2020-06-04,0.143000,0.143000,0.138000,0.140000,0.140000,0
2020-06-05,0.143000,0.145000,0.140000,0.145000,0.145000,0
2020-06-07,null,null,null,null,null,null
2020-06-08,0.148000,0.153000,0.148000,0.153000,0.153000,0
2020-06-09,0.160000,0.165000,0.160000,0.165000,0.165000,0
2020-06-10,0.163000,0.168000,0.163000,0.165000,0.165000,0
2020-06-11,0.158000,0.158000,0.150000,0.153000,0.153000,0
2020-06-12,0.155000,0.165000,0.150000,0.150000,0.150000,0
2020-06-14,null,null,null,null,null,null
2020-06-15,0.158000,0.163000,0.155000,0.155000,0.155000,0
2020-06-16,0.153000,0.163000,0.153000,0.160000,0.160000,0
2020-06-17,0.160000,0.165000,0.160000,0.165000,0.165000,0
2020-06-18,0.148000,0.148000,0.140000,0.140000,0.140000,0
2020-06-19,0.143000,0.148000,0.140000,0.143000,0.143000,0
2020-06-21,null,null,null,null,null,null
2020-06-22,0.140000,0.143000,0.140000,0.140000,0.140000,0
2020-06-23,0.145000,0.145000,0.140000,0.140000,0.140000,0
2020-06-24,0.138000,0.138000,0.135000,0.135000,0.135000,0
2020-06-25,0.135000,0.135000,0.128000,0.130000,0.130000,0
2020-06-26,0.133000,0.135000,0.128000,0.133000,0.133000,0
2020-06-28,null,null,null,null,null,null
2020-06-29,0.130000,0.130000,0.125000,0.125000,0.125000,0
2020-06-30,0.138000,0.138000,0.135000,0.135000,0.135000,0
2020-07-01,0.135000,0.135000,0.130000,0.130000,0.130000,0
2020-07-02,0.128000,0.135000,0.128000,0.133000,0.133000,0
2020-07-05,null,null,null,null,null,null
2020-07-06,0.135000,0.135000,0.128000,0.128000,0.128000,0
2020-07-07,0.140000,0.143000,0.140000,0.140000,0.140000,0
2020-07-08,0.138000,0.138000,0.135000,0.135000,0.135000,0
2020-07-09,0.130000,0.130000,0.120000,0.123000,0.123000,0
2020-07-10,0.120000,0.120000,0.120000,0.120000,0.120000,0
2020-07-12,null,null,null,null,null,null
2020-07-13,0.120000,0.128000,0.120000,0.125000,0.125000,0
2020-07-14,0.133000,0.133000,0.133000,0.133000,0.133000,0
2020-07-15,0.125000,0.128000,0.120000,0.125000,0.125000,0
2020-07-16,0.118000,0.118000,0.100000,0.103000,0.103000,0
2020-07-17,0.100000,0.105000,0.100000,0.105000,0.105000,0
2020-07-19,null,null,null,null,null,null
2020-07-20,0.105000,0.108000,0.105000,0.105000,0.105000,0
2020-07-21,0.115000,0.115000,0.110000,0.110000,0.110000,0
2020-07-22,0.105000,0.105000,0.100000,0.100000,0.100000,0
2020-07-23,0.108000,0.108000,0.100000,0.103000,0.103000,0
2020-07-24,0.103000,0.103000,0.098000,0.098000,0.098000,0
2020-07-26,null,null,null,null,null,null
2020-07-27,0.098000,0.098000,0.090000,0.093000,0.093000,0
